Season,Wk,Home_Team,xG_Home,Score,xG_Away,Away_Team,Attendance,Venue,Referee
2024,8,Reign,1.7,2–1,1.6,Wave,7030,Lumen Field,
2024,8,Gotham FC,1,1–0,0.8,Courage,6184,Red Bull Arena,
2024,8,Royals,0.9,1–2,1.4,Angel City,10731,America First Field,
2024,8,Dash,0.8,1–1,2.5,Current,5099,Shell Energy Stadium,
2024,8,Pride,1.3,1–0,1,Louisville,6837,Inter&Co Stadium,
2024,8,Thorns,1.5,2–1,2.2,Spirit,17039,Providence Park,
2024,8,Bay FC,1,1–2,1.8,Red Stars,14317,PayPal Park,
2024,7,Reign,0.2,0–0,1.2,Current,5083,Lumen Field,
2024,7,Wave,2.4,2–0,0.7,Royals,10289,Snapdragon Stadium,
2024,7,Dash,0.2,0–1,2.4,Gotham FC,4438,Shell Energy Stadium,
2024,9,Pride,2,1–0,1,Bay FC,7707,Inter&Co Stadium,
2024,9,Louisville,1.4,1–2,0.9,Spirit,6222,Lynn Family Stadium,Shawn Tehini
2024,9,Red Stars,2.6,3–1,1.1,Royals,3104,SeatGeek Stadium,
2024,9,Angel City,0.9,0–1,1.1,Dash,18037,BMO Stadium,
2024,9,Wave,1.4,1–1,1.6,Gotham FC,16024,Snapdragon Stadium,
2024,9,Current,2.9,1–0,0.3,Courage,11500,CPKC Stadium,Adam Kilpatrick
2024,9,Thorns,1.4,4–0,0.8,Reign,20229,Providence Park,
2024,10,Dash,1.1,0–2,2.8,Thorns,5726,Shell Energy Stadium,
2024,10,Bay FC,0.4,2–1,1.5,Wave,16930,PayPal Park,
2024,10,Spirit,2.7,4–2,1.4,Angel City,13342,Audi Field,
2024,10,Courage,3.1,1–0,0.2,Royals,4528,Sahlen's Stadium at WakeMed Soccer Park,
2024,10,Reign,1.6,2–3,1.4,Pride,6781,Lumen Field,
2024,10,Gotham FC,1.9,2–1,1.2,Red Stars,8996,Red Bull Arena,
2024,10,Current,2,3–3,0.5,Louisville,11500,CPKC Stadium,Nabil Bensalah
2024,11,Pride,2.4,2–1,2.5,Thorns,9226,Inter&Co Stadium,
2024,11,Angel City,1.1,0–0,1.9,Wave,19103,BMO Stadium,Elton Garcia
2024,11,Spirit,2.2,3–2,1,Reign,11551,Audi Field,
2024,11,Red Stars,1.4,0–1,2.1,Louisville,3872,SeatGeek Stadium,
2024,11,Bay FC,0.8,0–2,2.1,Gotham FC,12643,PayPal Park,
2024,11,Dash,1.7,3–0,1,Courage,4732,Shell Energy Stadium,
2024,11,Royals,0.3,0–1,3.9,Current,7491,America First Field,
2024,12,Gotham FC,1.9,2–1,0.5,Angel City,11662,Red Bull Arena,
2024,12,Royals,0.8,0–1,1.4,Spirit,8486,America First Field,
2024,12,Red Stars,1.2,1–2,3.2,Bay FC,35038,Wrigley Field,
2024,12,Wave,1,1–1,0.6,Pride,17073,Snapdragon Stadium,
2024,12,Louisville,1.3,2–0,1.5,Dash,6061,Lynn Family Stadium,
2024,12,Current,2.9,5–2,1.9,Reign,11500,CPKC Stadium,Brad Jensen
