,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Fabián Balbuena,DF,py Paraguay,34-311,1.br Grêmio,1991,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Folarin Balogun,FW,us United States,24-362,1.fr Monaco,2001,2,2,160,1.8,2,0,2,2,0,0,1,0,1.13,0,1.13,1.13,1.13,Matches
103,Simon Banza,"FW,MF",cd Congo DR,29-321,1.ae Al Jazira Club,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Yoel Bárcenas,MF,pa Panama,32-250,1.mx Mazatlán,1993,3,3,249,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
105,Valentín Barco,"DF,MF",ar Argentina,21-342,1.fr Strasbourg,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
106,Bradley Barcola,MF,fr France,23-301,1.fr PSG,2002,3,1,119,1.3,1,1,2,1,0,0,0,0,0.76,0.76,1.51,0.76,1.51,Matches
107,Abdülkerim Bardakc?,DF,tr Türkiye,31-296,1.tr Galatasaray,1994,3,3,265,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Ivan Baši?,MF,ba Bosnia–Herz,24-061,1.kz FC Astana,2002,3,2,179,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches
109,Ahmed Basil,GK,iq Iraq,29-315,1.iq Al-Shorta,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Martin Baturina,"MF,FW",hr Croatia,23-134,1.it Como,2003,3,3,254,2.8,1,0,1,1,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
111,Ibrahim Bayesh,"MF,FW",iq Iraq,26-060,1.ae Al Dhafra SCC,2000,3,3,235,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Samed Baždar,FW,ba Bosnia–Herz,22-150,1.de Gladbach,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Riechedly Bazoer,DF,cw Curaçao,29-261,1.tr Konyaspor,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Patrick Beach,GK,au Australia,22-328,1.au Melb City,2003,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Aziz Behich,MF,au Australia,35-196,1.au Melb City,1990,2,1,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Maximilian Beier,"FW,MF",de Germany,23-256,1.de Dortmund,2002,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Alireza Beiranvand,GK,ir IR Iran,33-282,1.ir Tractor,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Zineddine Belaïd,DF,dz Algeria,27-102,1.dz JS Kabylie,1999,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Rafik Belghali,DF,dz Algeria,24-023,1.it Hellas Verona,2002,3,3,250,2.8,1,0,1,1,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
120,Joe Bell,MF,nz New Zealand,27-064,1.no Viking,1999,3,3,243,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
121,Jean-Ricner Bellegarde,MF,ht Haiti,28-003,1.eng Wolves,1998,3,3,260,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
